cases from cases.json: MichaelR207/enron_qa_0922 inbox germany-c, 1257 emails
1254 usable cases (0 keyword, 1254 descriptive)
valid answers per case: 1..1

strategy                  hit@1  hit@3  hit@10     MRR
default                    0.68   0.87    0.94   0.780
per-tool 0                 0.68   0.87    0.94   0.780
per-tool 5                 0.68   0.87    0.90   0.774
per-tool 10                0.68   0.87    0.93   0.779
per-tool 20                0.68   0.87    0.94   0.780
per-tool 40                0.68   0.87    0.94   0.780
adaptive off               0.68   0.87    0.94   0.780
adaptive t=2               0.68   0.87    0.94   0.780
adaptive t=3               0.68   0.87    0.94   0.780
adaptive t=4               0.68   0.87    0.94   0.780
t=3                        0.68   0.87    0.94   0.780
t=5                        0.68   0.87    0.94   0.780
pool 300                   0.68   0.87    0.94   0.780
min-chunk 60               0.68   0.87    0.94   0.780
8:1                        0.68   0.87    0.94   0.782
6:1                        0.70   0.89    0.95   0.795
5:1                        0.69   0.89    0.95   0.794
3:1                        0.69   0.88    0.95   0.793
2:1                        0.68   0.87    0.94   0.780
2.5:1                      0.69   0.88    0.95   0.791
1.75:1                     0.69   0.88    0.95   0.787
1.5:1                      0.68   0.88    0.95   0.784
1.25:1                     0.68   0.87    0.95   0.782
1:1                        0.67   0.87    0.95   0.778
1:2                        0.66   0.86    0.94   0.767
1:3                        0.65   0.84    0.93   0.756
0:1                        0.58   0.78    0.89   0.690
